text,intent
سمعنا ان ريميدسفير وافيجان وبلاكونيل  هل ده صح,treatment
طيب ما أنا سألت كم عدد الحالات في إسرائيل,infected cases
شكرا نميسه,reviews
عدد المصابين في مصر,infected cases
الحالات اليوم في مصر,infected cases
اخر اعداد كرونا,infected cases
الو,greeting
عدد المصابين ب كورونا في مصر,infected cases
عدد الإصابات النهاردة,infected cases
عدد حالات,infected cases
عدد الحالات النهارده كام با نميسه,infected cases
ممكن اعمل التحليل فين؟,laboratory
اعداد الحالات النهارده في مصر,infected cases
طيب الموضوع هيخلص امته,nothing identified
ما هي الأعراض,symptoms
واو ده انتي معديه,reviews
المصابين في مصر والدولة السعودية,infected cases
اهم التوصيات,precautions
الحالات في النرويج,infected cases
كام عدد الحالات فرس كرونا في مصر,infected cases
للمصابين في مصر النهاردة كان,infected cases
إسرائيل,infected cases
اسبانيا,infected cases
خلاص يا حاجة,no
آه هي أعراض فيرس كرونة,symptoms
عداد الحالات,infected cases
ماهى المساحة بين شخص وشخص تحمى من الإصابة بالفيرس,precautions
اعداد الحالات في اطاليا و هولاندا,infected cases
عدد الوفيات في كندا,infected cases
وانا شاهدت صاحب فكرة البرنامج مع محمود سعد,nothing identified
لا شكرا,no
سعال,assessment
كم عدد الحالات ف ايطاليا,infected cases
كم عدد الحالات المصابة في مصر,infected cases
ايه أعراض كورونا,symptoms
لا محافظة المنيا اللى فى مصر مش الدوله,infected cases
اهلا و ازيك,how are you
ما عدد المصابين اليوم في مصر,infected cases
عدد إيطاليا,infected cases
ماهو فيروس كورونا؟,about corona virus
نسبه نسبه,infected cases
ازي افرق بين الصداع العادي والصداع أعراض الكورنا,comparison
لا شكراً,reviews
لماذا لا يتم خصم اعداد المتعافين من المرض من عدد الاصابات,nothing identified
انا بتسأل عن مستشفيات خاصة علشان لا قدر الله موضوع كورونا,business location
مستشفيات الحجر في مصر,business location
كمان عايز اعرف ايه المقصود بنتائج تحولت حالتها من ايجابيه لسلبيه,nothing identified
أساليب الإصابة أساليب الوقاية من الإصابة,precautions
كام في فلسطين,infected cases
عدد وفيات كورونا وعدد المصابين وفي علاج ليه ًوله لا,infected cases
كام,infected cases
اعداد الحالات في فرنسا و إسبانيا و الأردن,infected cases
طب ينفع تقوليلي العدد الي اتصاب يوم الثلاثاء في مصر,infected cases
برافو,reviews
لم تجب على سؤالي,nothing identified
العدوي ممكن تنتقل من الهوا لما بنزل الشارع؟,transfer methods
لو سمحت اي اللي ممكن يفصل بين وجع الزور العادي و النغرشه و بين الكورونا,comparison
اسمك,about bot
وفايات,infected cases
اعداد الاصابات,infected cases
أعداد الحالات في مصر آه النهاردة إيه,infected cases
الحل,treatment
هل أصيب احد بالفيروس في سجون مصرية,infected cases
كام عدد الحالات فى مصر,infected cases
ما بعد كروانا  ايه,the evolution of the virus
اهلاا,greeting
ما هى اعراض الاصابه بالكورونا؟,symptoms
ما هو كورونا,about corona virus
عندي برد شديد,assessment
هي أعداد الإصابات في مصر ولبنان,infected cases
كم عدد الاصابات في لكويت,infected cases
عدد المصابين مصر,infected cases
حالات اليوم,infected cases
ازيك نميسه,how are you
هو شرب الليمون كويس ضد فيروس كرونة,food and drinks
الكويت,infected cases
انا والدي و والدتي كبار في السن وعندهم الضغط وخايف عليهم جدا يجرالهم حاجه,most vulnerable
هي الحالات في السعودية وصلت لك إمبارح,infected cases
كم عدد الحالات المصابة بالكورونا اليوم,infected cases
ماهى الادوية التي تساعد الجسم ليدافع عن نفسه من كورونا,treatment
معدل اصابات في الجزاير,infected cases
وهي صداع من أعراضه,assessment
في مصر,infected cases
هل المحشي بيتخن ؟,nothing identified
هل. الاسهال من اعرض. الكورنا,symptoms
اعمل ايه وانا مضطر انزل الشغل و شغلي كل يوم ف مكان مختلف,education and work
كل التقدير والشكر للفكرة الرائعة التى بنى عليها هذا  التطبيق الجيد جدا واشكر المهندس احمد محمود على  هذا التطبيق وربنا يجازيك كل خير,kindness
الإعداد في مصر ولبنان و السعودية ؟,infected cases
هو طالما الصيف جه كده الفيرس هينتهي,warm weather
انت مين,about bot
انا اشعر بسخونه فى جسدى,assessment
ايه اخبار التعليم,education and work
كفية الوقايه من كورونا,precautions
اعداد الإصابة في فلسطين,infected cases
اه باعربى,spoken languages
انا درجة حرارتى 39,assessment
عدد المصابين في اسرائيل,infected cases
كم عدد الحالات المسجلة فى مصر,infected cases
اعراض كورونا ؟؟,symptoms
ماهو الخط الساخن,emergency
كام واحد مات من كورونا  النهاردة,infected cases
انا عندى صداع ورشح,assessment
اعراض مرض كرونا,symptoms
طرق الوقاية,precautions
فى هولندا,infected cases
نميسة ممكن اعرف اعداد الوفيات في مصر بالنسبه لباقي الدول العربيه,infected cases
ايه آخر التطورات فى مصر من فيروس كارونا,infected cases
ما هو تأثير كرونا,about corona virus
كم عدد المصابين في مصر الان,infected cases
كيف يتم الوقاية من كورونا بالرغم من ضرورة التعامل مع الجمهور,precautions
سؤالي هو الصداع الشديد والهبوط وكل اعراض الضغط المنخفض مع هزال ف الجسم والتهاب ف الحلق,assessment
انا مش بكح,assessment
الوقايه من كورونه,precautions
هل  تعقيم الشوارع له فايده في مواجهه كورونا,sterilization and disinfection
هل كورونا سينتهي مع شدة حرارة الطقس,warm weather
الوقايه للامراض المزمنه انا مريضه روماتويد,precautions
اسهال,symptoms
الدوله التي لم ينتشر به وباء كورونا,nothing identified
أنا حاسة سخونية و درجة حرارتي عالية ده ممكن يكون برد ولا فيرس كرونة,assessment
عدد الوفيات اليوم فى مصر,infected cases
اهلا وسهلا بك,greeting
فين بس,nothing identified
ايه الافلام الاي في السينما دلوقتي ؟,nothing identified
هل يوجد علاج فعال,treatment
أعداد المصابين النهاردة في مصر كام,infected cases
اعداد المصابين النهارده,infected cases
من فضلكم عاوزة اعرف مدة بقاء فيرس كورونا على الاسطح بشكل دقيق,transfer methods
ما نسبة الإصابة اليوم في مصر,infected cases
كم عدد حالات تايلاند اليوم,infected cases
علاج فيروس كورونا هيكون متوفر امتي؟,treatment
طب انتي تقربي لسيري,nothing identified
عددالوفيات فى امريكا,infected cases
بلدك؟,nothing identified
كم عدد الاصابات في الهمد,infected cases
البيان,infected cases
إيه آخر أخبار كورونا في مصر,infected cases
في في مصر كان واحد مصاب,infected cases
نميسة,greeting
ماهى مستشفيات الحجر بمصر,business location
عدد الحالات في السعوديه,infected cases
القايمة الرئيسية,greeting
ولا يبان انك روبوت,reviews
اعدد المصابين في  المغرب,infected cases
عدد الحلات الاجابيه فى امريكا لو سمحت,infected cases
كم عدد الحالات فى مصر,infected cases
هل ممكن اروح المستشفى اقولهم حللولي عشان النفس تقيل,business location
هي أطهر من فيرس كرونة,sterilization and disinfection
دي الحالات حالات كرونة في مصر,infected cases
اعداد المصابين,infected cases
اهلل,greeting
هل كورونا خطر على كل الناس,panic among the people
هل يوجد مصل لعلاج كورونا,treatment
أخبار الحالات في مصر إن هو ده,infected cases
"تحية شكر وتقدير لكل شاب مصري مبدع وشارك في هذا التطبيق",kindness
أخبارك إيه,how are you
كم عدد حالات كورونا اليوم,infected cases
ايه الاكتر اهمية في موضوع كورنا هل ايجاد لقاح ولا علاج في الايام دي,treatment
ما هو احتمال زيادة نسبة الاصابات بالفيروس خلال الفترة القادمة,the evolution of the virus
اشكركم على احترامكم وربنا يجعله في ميزان حسناتكم يارب العالمين,kindness
كيف احمي نفسي من الكورونا,precautions
عدد المصابين في العالم,infected cases
زي أعمل تحليل فيرس كرونو,laboratory
ايه هوا اصل الفيروس؟,about corona virus
طب اى الى بيقوى المناعه,food and drinks
اي المتوقع مع كورونا بعد شهر,the evolution of the virus
الحالات في مصر قد ايه ؟,infected cases
عرفت ان ساعات بيظهر طفح جلدي هل دا صحيح,symptoms
نتيجة التحليل سلبيه مع حمل المرض,laboratory
تنصحيني بيه عشان فيرس كرونة,precautions
اعراضه ايه,symptoms
بيقعد علي الاسطح كام ساعه,transfer methods
عدد الإصابات في مصر النهاردة كام ؟,infected cases
هل يوجد علاج لمرض كورونا أكيد,treatment
ما هي عدد حالات الوفيات من كورونا في مصر,infected cases
هل الصداع من أعراض كورونا؟,symptoms
عايزه اعرف ازاي احتمي وانا في الشارع,precautions
مرحبا نميسه,greeting
امريكا,infected cases
أهلا بحضرتكم تشرفنا بيكم,reviews
كم عدد حالات المصابين بالمرض فى جمهوريه مصر العربيه,infected cases
الاسكندرية مستسفى واحد فقط,business location
في غضون شهر,nothing identified
ماهي اعداد الاصابة في سنغافورة ؟,infected cases
الكحه خطر,assessment
أعداد الحالات في مصر,infected cases
إعداد المصابين في لبنان و مصر و السعودية ؟,infected cases
تعليمات,nothing identified
هنرجع شغلنا امته؟,back to work
خلال ال24الماضية,infected cases
من مخترع هذا الفيروس اللعين؟,nothing identified
في أي حالة ظهرت في مصر امس,infected cases
هو ليه الموقع كله انجليزي,spoken languages
هو طالما الصيف جه كده الفيرس هيتقتل,warm weather
الكحول ال95%مفيد ولا ايه,sterilization and disinfection
ألات في إيطاليا,infected cases
انا عندي خمسون سنه وركبت دعامه فى القلب..فهل.يحوز أن. اصوم.ولا.لاء,most vulnerable
أود ان اتعرف علي كم حالات الكرونا اليوم؟,infected cases
اذيك,nothing identified
قصدي يكلموكي,nothing identified
مده الحجر بعد الشفاء من كورونا,home quarantine
انتى مين,about bot
طرق التطهير,sterilization and disinfection
مستشفيات العزل,business location
شكراً نميسة,reviews
الحالات في قطر,infected cases
ما هى عدد الحالات فى دوله قطر,infected cases
النمسا اخبار الأصابات,infected cases
لبنان,infected cases
هل تم اختراع علاج لكرونا,treatment
مصابين ١١من أبريل كام في مصر,infected cases
عدد المصابين كام دلوقتي,infected cases
علامات المرض,symptoms
ممكن فى ايطاليا,infected cases
عدد حالات مصر النهاردة,infected cases
زهقان ايه الحل,treatment
لماذا لايتم خصم الحالات التي تحولت لسلبية والحالات المتوفاه من اجمالي الحالات المصابة بالفيروس؟,infected cases
قشطه عليكي,reviews
اقل دولة فى نسب الوفيات ايه؟,infected cases
ليوم الجمعة كام يا نميسة,infected cases
عدد الحالات في سلطنة عمان,infected cases
"شكرا
اللي بسأل عليه مش عندك شكرا لتعبك",reviews
اعداد المصابين في مصر و الكويت و ايطاليا السعودية لبنان,infected cases
أخبار إعداد الفيروس البوم فى مصر,infected cases
لو عايز اسافر دلوقتى اعمل ايه؟,nothing identified
ما عدد إصابات مصر اليوم,infected cases
اعمل ايه,nothing identified
والله شكرا جزيلا وبرنامج رائع شكرا نميسة,reviews
"شكرا لك 
ساتحدث في وقت لاحق عندما احتاج لذلك 👍🌹",reviews
كل الهري ده وبرضه ماجوبتش عن السؤال,nothing identified
هل مرض كورونا يؤثر على المصابين بالتهاب في الرئة؟,symptoms
كام اعداد إصابات اليوم,infected cases
عدد الوفيات اليوم,infected cases
هو في مصر في كم واحد مصاب,infected cases
متقلقيش,nothing identified
إعداد سوهاج,infected cases
كم عدد الحالات في مصر اليوم,infected cases
كام حالة في مصر,infected cases
عدد الحالات المصابة في الهند,infected cases
الحالات في إيطاليا و إنجلترا,infected cases
اعداد الحالات في الهند,infected cases
هل التهاب الجيوب الأنفية ممكن يسبب كرونا,symptoms
علشان تجنب,nothing identified
عدد الحالات المصابة في ألمانيا,infected cases
هو أنا لازم ألبس جوانتي,gloves
كم عدد الحالات المصابة في الهند,infected cases
شكرًا .. شكرًا .,reviews
اعداد المصابين في مصر الان,infected cases
إعداد المصابين فى مصر بسب كارونا,infected cases
هل نحن وصلنا إلى الذروة ام لا,the evolution of the virus
كام عدد الاصابه بفيروس مورونا بمصر؟,infected cases
عربي,spoken languages
تكرار للى معروف,nothing identified
رائع جدًا .. شكرًا جزيلاً .,reviews
اعداد الحالات فى ايطاليا,infected cases
مدة انتشار فيرس عل الاسطح,transfer methods
اعداد المصابين في إنجلترا و هولندا,infected cases
الحظر,curfew
اعداد الحالات في أوكرانيا و روسيا,infected cases
إعداد في مصر كام,infected cases
ما هو كونك,about corona virus
اعداد المصابين في مصر,infected cases
دعاء رفع البلاء,prayers
الاسهال عرض,symptoms
من الدوله المتسببه ف ظهور فيروس كورونا,about corona virus
هل يتنقل الفيروس عن طريق ملامسه مقابض السيارة اومقابض جميع الأبواب العامة,transfer methods
امتي ينتهي الفيرس,the evolution of the virus
ما آخر المستجدات الدوليه في صنع ماصل او علاج,treatment
هل يمكن الاصابة بكورونا دون ملامسة شخص مصاب او الاقتراب منه ؟,transfer methods
نميسة عايز أعرف عدد الحالات في لبنان,infected cases
احنا بقينا كام واحد عنده كرونا دلوقتي,infected cases
الفيروس ده هنخلص منه أمتي,the evolution of the virus
ممكن التفاصيل عن تسجيل العماله الغير منتظمه,nothing identified
الفرق بين كورونا وااانفانزا,comparison
كام عدد المصابين في الاسماعيليه,infected cases
كيفية الحذر من قرون,precautions
كم عدد المصابين في مصر اليوم؟,infected cases
جوزي بينزل الشغل كل يوم وفي ناس تعبانه عنده ايه الاعراض اللي تعرفني ان دي عدوي كورونا,symptoms
هو إيه الفرق بين فيرس كرونو الإنفلونزا العادية,comparison
برافو عليك يا نميسة رفعتي رأسنا والل ه شطورة,reviews
وكم عدد المصابين الإجمالي,infected cases
روسيا,infected cases
تركيا,infected cases
و ممكن تكون اعراض ربو او ارتجاع مرى,assessment
معنديش حاجه,nothing identified
كن عدد الحالات في المغرب,infected cases
أشكرك,reviews
من اربع ايام باحس  باحتقان بسيط الصبح وبيروح بعد شويه,assessment
ايه الأكلات اللي اعملها لولادي عشان تمنع العدوي تجلهم,food and drinks
كم عدد حالات اليوم,infected cases
ما هي الكرونا,about corona virus
كان عدد الإصابات مكرونة في مصر,infected cases
هل في نوع معين من الأكل كويس ضد فيرس كرونة,food and drinks
هل هناك امصال ؟,treatment
السلام عليكم ورحمة الله وبركاته,greeting
كيفيه التعامل مع الفيرس,precautions
اهلا نميسة,greeting
الفيرس بيفضل عايش قد ايه علي الاسطح,transfer methods
مستقبل كورونا مصر,the evolution of the virus
شكراً,reviews
هل الماسك يحمى من الإصابة بالفيرس,muzzle/mask
متوقع  ينتهي متي الوباء كرونا,the evolution of the virus
متى نرجع عملنا,back to work
الحالات في المنوفيه,infected cases
السلام عليكم,greeting
تمام,reviews
شكرا يا نموسة,reviews
اعدد المصابين اليوم في مصر,infected cases
اين توجد مستشفيات العزل؟,business location
ما بعد الشفاء,nothing identified
كوسوفو,nothing identified
كم عدد الاصابات في امركا,infected cases
اعداد الحالات في فرنسا وإسبانيا و الأردن,infected cases
مجهود طيب .. بالتوفيق,reviews
ما عدد المصابين في مصر,infected cases
هل تم الوصول لدواء معين لمعالجة الفيروس,treatment
ازاي احمى نفسي من كورونا,precautions
انا عندي برد,assessment
تقرير الإصابات والوفيات,infected cases
ازاي الشخص يعرف انه عنده كورونا ايه العلامة المميزه لها,symptoms
عدد الوفيات في مصر,infected cases
اي اعراض كرونا,symptoms
كم الحالات في كندا,infected cases
الاثار المتراكمة بعد الشفاء,nothing identified
اهلا ازيك,how are you
آهلآ,greeting
ما هو العلاج الوقائي ضد فيروس كورونا,precautions
الاعراض الاولى لإصابة كورونا,symptoms
اعداد الحالات في كل محافظة؟,infected cases
الاعداد فى مصر كام,infected cases
ما إعداد مصابة بهتيم,infected cases
هي إيه طرق انتقال العدوى,transfer methods
الحالات في مصى,infected cases
طرق وقاية احدث من الطرق الحالية,precautions
عدد الحالات في مصر,infected cases
اعراض كرونا,symptoms
هل الكمامات ذات الفلتر ومن أشهرها ماركة n95. يمكن استخدامها عدة مرات بعد تعقيمها جيدا بالكحول,sterilization and disinfection
عدد الوفيات حالات الكورونا فى مصر,infected cases
اهلا وازيك,how are you
سألت قبل كده,nothing identified
عدد الحالات,infected cases
السيستم واقع ياحجه,reviews
الأعراض الخفيفة الكرونة,symptoms
كم واحد مصاب في مصر وفي الصين,infected cases
عايزه تقرير النهارده بس,infected cases
كام عدد الحالات في انجولا,infected cases
أعراض فيرس كرونة,symptoms
اعداد الحالات في ايطاليا,infected cases
الاعراض,symptoms
"كنت بسأل عن تمرين النفس عايزه اعرف اذا كان صح ولا 
شكرا على المعلومه",breathing test
في تحليل فالبيت؟,assessment
أهلاا,greeting
كم عدد المصابين حاليا,infected cases
كيفية تكاثر فيرس كورونا,transfer methods
إعداد المصابين في مصر والكويت,infected cases
كم  عدد الاصابات في اران,infected cases
المانيا,infected cases
عدد الإصابات في مصر حسب المحافظات,infected cases
هل السعال فقط من أعراض كورنا,symptoms
هممم,nothing identified
كم عدد الحالات في السعودية,infected cases
انا بعمل لك functional test,nothing identified
يقال انه فيه علاج توصلو اليه هل هذا صحيح,treatment
المغرب,infected cases
وهل يتأثر مرض حساسية الجيوب الأنفية بالفيرس,symptoms
اخر الاعداد,infected cases
كيف نتعامل مع المشتريات قبل دخول المنزل,precautions
ما هو فيروس الكرونا,about corona virus
شكرا لحضرتكم,reviews
الاعداد في مصر,infected cases
طرق تطهير الخضروات,sterilization and disinfection
الإجراءات الاحترازية,precautions
طيب ايه فرق كورونا عن الانفلونزا,comparison
اعقم البيت ازاي واستخدم انهي كحول,sterilization and disinfection
ازيك 😍,how are you
هل نحن فى أمان,panic among the people
هل الكورونا ممكن يتحول لمرض موسمي ؟,about corona virus
كيف اعرف اذا كان عندى كورونا ولا لأ؟,assessment
ما هو موعد انقضاء الوباء,the evolution of the virus
لو عندي سخونية,assessment
انا بسأل على علاج,treatment
كم يوم بيفضل الفايروس على الاسطح,transfer methods
الحالات في تركيا,infected cases
مص,nothing identified
ف حجر المسافرين من ليبي,home quarantine
عدد المصابين النهارده في نصر,infected cases
شكرا لحضرتك وجزاكم الله خيرا,reviews
بيان وزارة الصحة,infected cases
هل تم اكتشاف علاج,treatment
ايه الاكلات اللي تقوي من مناعه ولادي,food and drinks
صباح الخير,greeting
مدي فاعليه الخل في القضاء علي الفيروس,treatment
كام حاله في السويد,infected cases
عامله اي,how are you
انتى منين,about bot
الصين,infected cases
الحالات في السعوديه وصلت لكام,infected cases
عدد الحالات في مصر حتي الان,infected cases
إعداد الحالات,infected cases
اعداد الحالات,infected cases
كام عدد حالات مصر,infected cases
هذه الحالات في أمريكا,infected cases
فلسطين,infected cases
هل لو جالى كحه اتصرف ازاى,assessment
يا نميسة من صنعك,about business
اخبار كورنا ايه,about corona virus
"لا مش الحضانه, الموضوع كله هيخلص امته",nothing identified
اهلا يا نميسة🤣,greeting
هل مرض كورونا في مصر وصل لذروته,infected cases
كأم عدد الحالات فى محافظة المنيا,infected cases
الحالات فى ايران,infected cases
صباح الخير 😊,greeting
هل هناك اي علاج او مصل ؟,treatment
رأي لإنقاص,nothing identified
عندي الم في الصدر,assessment
كيف حالك يا نميسة,how are you
كم عدد الحالات اليوم,infected cases
ماليزيا,infected cases
كم سعر الدولار,nothing identified
عايزة أعرف الحالة إلي أحنا فيها والقلق حينتهي أمتي,panic among the people
الام في الرقبة,assessment
اي اعداد الاصابات في مصر النهارده,infected cases
كام عدد الحالات الجديدة في السعودية؟,infected cases
ما هي الأعراض التي تؤكد الإصابة بكورونا,symptoms
محتاج اعرف الاعراض الاوليه لكرونا,symptoms
اهلاً,greeting
الفيرس بيجي للاطفال ولا الناس الكبيره بس,most vulnerable
عاوز اعراض كرونا وخاصه المرحله الاولي,symptoms
طيب,nothing identified
ايه,nothing identified
ايه هو الفرق,comparison
شكرا لكي,reviews
اعداد الإصابة في مصر وصل كام,infected cases
طفشت من قعدة البيت,home quarantine
وحشتيني يا غالية,crush
السلام عليكم  ازيك,how are you
ممكن اعرف اخر الأعداد الخاصة بإصابات فيروس كورونا اليوم,infected cases
من  انتم؟,about business
شغل حلو,reviews
شكرا لذوقك,reviews
هل المرض ينقل عن طريق الهواء,transfer methods
الأعراض الاساسيه لفيروس كورونا,symptoms
وكمان الحلات الى خفت,infected cases
شكلك غبية,nothing identified
اهلا بكم,greeting
الحالات في امريكا ؟,infected cases
عن طريق الاختلاط,transfer methods
وقف الحظر امتي,curfew
باي,end conversation
نعم,yes
ماهى طرق تجنب العدوي وكيف احمى نفسى,precautions
ماهي افضل طريقه للتطهير,sterilization and disinfection
هو الفيرس بينتقل في الجو,transfer methods
كم عدد الحالات الاسكندريه,infected cases
لو حد جتلة كحة شديدة وبحة صوت و ضيقة نفس بس مافيش سخونة ولا بلغم وعمل أشعة على الصدر ومافيش حاجة ممكن تكون كورونا رغم رفض الحميات استقبالة,assessment
أعداد المصابين فى مصر,infected cases
إعداد الحالات,infected cases
ما هي أعراض كورونا,symptoms
انت منين نميسه,about business
هل الاصابه تأتي بالمخالط لحالة اصابه فقط,transfer methods
ماهو السيناريو القادم للاصابة في مصر,the evolution of the virus
تقرير إعداد المصابين فى مصر بسب كارونا,infected cases
شكرا جدا,reviews
هي إيه طرق التطهير الكويسة عشان في روسكورو,sterilization and disinfection
هو الحظر اتجدد؟,curfew
بقينا كام مصاب لحد دلوقتي ؟,infected cases
انا كويسه يا نميسه انتى عامله ايه,how are you
هل الحيوانات تصاب بفيروس,infection by animals
انا تعبانه من قبل المطر ومازلت مريضه,assessment
آه فيكم إصابة كرونة في العالم لحد دلوقتي,infected cases
كم عدد الإصابات القرون في مصر,infected cases
أهلاً,greeting
نعم ، بالتأكيد 👍,yes
العامة,nothing identified
"معلش انا بسال عن اليوم فقط 
مش الحالات كلها",infected cases
نسب الوفيات فى قطر؟,infected cases
هل ممكن ارسال المعلومات باللغة العربية,spoken languages
بخصوص كرونا,about corona virus
كورونا*,about corona virus
عدد حالات الكرونا في قطر,infected cases
الحجر المنزلي,home quarantine
اعداد المصابين📊,infected cases
لو تعاملت مع شخص مصاب جديد  لم تظهر عليه علامات المرض. هل الكمامه والجوانتي يكفوا للحمايه م العدوي؟,muzzle/mask
كم حاله امس,infected cases
أو على الأصابات في مدينة أسوان في لكورونا,infected cases
شكرا على الإفادة والمجهود العظيم خالص تقديرى واحترامي لكم مع مزيد من النجاح,reviews
أشعر بالم في الصدر. هل هذا من اعراض الكرونا,assessment
اللقاح,treatment
عدد الاصابات فى مصر,infected cases
فى دولة ف العالم ماصابها الفيروس,infected cases
ايه الاعراض,symptoms
اي محافظات تم اكتشاف حلات فيها,infected cases
الوقايه,precautions
في جده,infected cases
شكرا,reviews
هل الماسك القماش صحي للتعامل مع الكورونا,muzzle/mask
فرنسا,infected cases
كلنا كدا بالحجر المنزلى,home quarantine
الحالات المصابة,infected cases
انت جميل,crush
لو في عطس لاكتر من مره هل في قلق؟؟,assessment
زي أعمل تحليل فيرس كرونة,laboratory
ازيك,how are you
التنفس زاى,breathing test
كنت محتاج تقرير كامل بالحالات حول العالم,infected cases
متى ترجع الامور كما كانت فى مصر قبل كرونا؟,infected cases
إزيك,how are you
عشان المصريين هما اللي هيشتغلوكي,nothing identified
قطر,infected cases
ايه هي الكرونا,about corona virus
نسبة الكحول كام,sterilization and disinfection
موضوع كورونا سينتهي متي ؟,the evolution of the virus
سرعة القذف,nothing identified
إيه هو عدد وفيات مصر النهاردة منك رنه,infected cases
اعداد المصابين فى الشرفيه,infected cases
ممكن تقوليلي يا نميسه  هل لبس الماسكات مهم ولا لأ,muzzle/mask
هل حقيقي خبر ان في دواء بامريكا تم اكتشافه وهيظهر بعد اسبوع ام ان هذه اشاعة,treatment
كم عدد حالات المصابين بالمرض فى جمهوريه مصر العربيه اليوم,infected cases
